Rk,Squad,MP_h,W_h,D_h,L_h,GF_h,GA_h,GDiff_h,Pts_h,Pts/G_h,xG_h,xGA_h,xGDiff_h,xGDiff/90_h,MP_a,W_a,D_a,L_a,GF_a,GA_a,GDiff_a,Pts_a,Pts/G_a,xG_a,xGA_a,xGDiff_a,xGDiff/90_a
1,Everton,10,4,2,4,16,15,1,14,1.4,13.6,15.8,-2.2,-0.22,11,7,2,2,18,13,5,23,2.090909091,16,13.6,2.4,0.2181818182
2,Aston Villa,10,5,1,4,19,14,5,16,1.6,21.2,11.9,9.3,0.93,11,6,1,4,17,10,7,19,1.727272727,17.4,16.2,1.2,0.1090909091
3,Leicester City,11,5,1,5,16,15,1,16,1.454545455,15.8,15.1,0.7,0.06363636364,12,8,3,1,23,10,13,27,2.25,20.7,14.3,6.4,0.5333333333
4,Arsenal,11,4,3,4,12,11,1,15,1.363636364,14.4,14.3,0.1,0.009090909091,12,5,1,6,15,12,3,16,1.333333333,18.3,13.8,4.5,0.375
5,Liverpool,12,7,2,3,22,14,8,23,1.916666667,26.5,15,11.5,0.9583333333,11,4,5,2,22,15,7,17,1.545454545,22.4,13.7,8.7,0.7909090909
6,Tottenham,12,5,3,4,17,13,4,18,1.5,21.7,16.6,5.1,0.425,10,5,3,2,19,9,10,18,1.8,15.9,12.8,3.1,0.31
7,Chelsea,11,5,4,2,21,11,10,19,1.727272727,20.8,11.2,9.6,0.8727272727,12,6,2,4,17,13,4,20,1.666666667,17.8,11.1,6.7,0.5583333333
8,Leeds United,11,4,2,5,16,16,0,14,1.272727273,18.7,16.6,2.1,0.1909090909,11,6,0,5,22,22,0,18,1.636363636,16.1,25.1,-9,-0.8181818182
9,Newcastle Utd,12,4,2,6,15,21,-6,14,1.166666667,13.8,15.2,-1.4,-0.1166666667,11,3,2,6,10,17,-7,11,1,10,21.1,-11.1,-1.009090909
10,West Ham,11,5,3,3,16,14,2,18,1.636363636,15.5,14.9,0.6,0.05454545455,12,6,3,3,18,14,4,21,1.75,19.1,14.5,4.6,0.3833333333
11,Southampton,11,5,1,5,15,13,2,16,1.454545455,12.8,13.6,-0.8,-0.07272727273,11,3,4,4,14,24,-10,13,1.181818182,10.6,19.3,-8.7,-0.7909090909
12,Crystal Palace,11,4,3,4,14,18,-4,15,1.363636364,10.3,19,-8.7,-0.7909090909,12,4,2,6,13,21,-8,14,1.166666667,12.3,20.4,-8.1,-0.675
13,Wolves,12,4,4,4,14,14,0,16,1.333333333,15.1,13.2,1.9,0.1583333333,11,3,2,6,9,17,-8,11,1,11.3,18,-6.7,-0.6090909091
14,Manchester City,11,8,2,1,22,7,15,26,2.363636364,26.5,7.3,19.2,1.745454545,11,7,3,1,21,7,14,24,2.181818182,23,9.1,13.9,1.263636364
15,Brighton,11,1,6,4,11,15,-4,9,0.8181818182,21.6,10.5,11.1,1.009090909,12,4,4,4,14,15,-1,16,1.333333333,12.1,20,-7.9,-0.6583333333
16,Manchester Utd,12,5,3,4,25,18,7,18,1.5,22.8,15.8,7,0.5833333333,11,8,3,0,24,12,12,27,2.454545455,20.3,14.2,6.1,0.5545454545
17,West Brom,11,1,3,7,7,31,-24,6,0.5454545455,8.6,25.2,-16.6,-1.54,12,1,3,8,11,23,-12,6,0.5,9.2,22.6,-13.4,-1.116666667
18,Burnley,11,4,2,5,9,13,-4,14,1.272727273,10.8,15.6,-4.8,-0.12,11,2,3,6,5,16,-11,9,0.8181818182,9.5,18.8,-9.3,-0.8454545455
19,Sheffield Utd,12,2,1,9,9,18,-9,7,0.5833333333,13.4,18.5,-5.1,-0.24,11,1,1,9,6,19,-13,4,0.3636363636,9.6,18.5,-8.9,-0.8090909091
20,Fulham,12,1,4,7,7,17,-10,0,7,12.6,18.5,-5.9,-1.27,10,1,5,4,10,14,-4,8,0.8,12.1,19.6,-7.5,-0.75
